"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolModal_ADD.jsx", "JavaScript JSX", 0, -198, 0, 0, -8, -206
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolModal_EDIT.jsx", "JavaScript JSX", 0, -196, 0, 0, -6, -202
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\Result.module.css", "CSS", 0, 0, -3, 0, -1, -4
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\TableColumn.module.css", "CSS", 0, 0, -27, 0, -4, -31
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\Tool.module.css", "CSS", 0, 0, -66, -4, -6, -76
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolGroupItem.module.css", "CSS", 0, 0, -18, 0, -2, -20
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolGroupItemDetails.module.css", "CSS", 0, 0, -23, 0, -2, -25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolGroupList.module.css", "CSS", 0, 0, -36, 0, -1, -37
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolList.module.css", "CSS", 0, 0, -116, -4, -19, -139
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\ToolModal.module.css", "CSS", 0, 0, -88, -4, -5, -97
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\service\toolManager.js", "JavaScript", -161, 0, 0, 0, -8, -169
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\validationSchema\toolGroupValidationSchema.js", "JavaScript", -23, 0, 0, 0, -3, -26
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\validationSchema\toolValidationSchema.js", "JavaScript", -22, 0, 0, 0, -2, -24
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\redux\actionTypes\actionTypes.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\redux\actions\Action.js", "JavaScript", 42, 0, 0, 0, 7, 49
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\redux\reducers\reducer.js", "JavaScript", 46, 0, 0, 0, 9, 55
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\redux\store.js", "JavaScript", 4, 0, 0, 0, 3, 7
"Total", "-", -1094, -7370, -2884, -94, -871, -12313
